errors	Iteration	
0.00			1
0.00			2
26.67			3
29.17			4
46.67			5
55.83			6
60.83			7
68.33			8
75.00			9
80.00			10
79.17			11
80.83			12
83.33			13
81.67			14
83.33			15
85.00			16
84.17			17
85.00			18
85.83			19
84.17			20
86.67			21
88.33			22
88.33			23
88.33			24
89.17			25
90.00			26
90.00			27
89.17			28
90.00			29
90.83			30
90.83			31
90.83			32
90.83			33
91.67			34
90.83			35
90.00			36
90.83			37
90.83			38
90.83			39
90.83			40
92.50			41
90.83			42
91.67			43
91.67			44
90.83			45
91.67			46
90.83			47
90.83			48
90.83			49
90.83			50
90.83			51
91.67			52
90.83			53
90.83			54
91.67			55
91.67			56
90.83			57
90.83			58
90.83			59
91.67			60
90.83			61
90.83			62
90.83			63
90.83			64
90.83			65
91.67			66
90.83			67
92.50			68
92.50			69
90.83			70
90.83			71
91.67			72
90.83			73
90.83			74
91.67			75
91.67			76
91.67			77
90.83			78
90.83			79
90.83			80
91.67			81
92.50			82
91.67			83
91.67			84
91.67			85
90.83			86
92.50			87
91.67			88
91.67			89
90.83			90
91.67			91
90.83			92
90.83			93
91.67			94
90.83			95
90.83			96
90.83			97
92.50			98
91.67			99
90.83			100
